2017-05-08T06:30, 2017-05-08T23:30, 1020
2017-05-09T03:30, 2017-05-09T23:30, 1200
2017-05-10T03:30, 2017-05-10T05:30, 120
2017-05-10T07:30, 2017-05-10T22:30, 900
2017-05-11T06:30, 2017-05-11T23:30, 1020
2017-05-12T06:30, 2017-05-13T00:30, 1080
2017-05-13T10:50, 2017-05-13T14:30, 220
2017-05-13T18:30, 2017-05-14T01:30, 420
2017-05-14T11:11, 2017-05-15T02:00, 889
2017-05-15T05:00, 2017-05-15T22:00, 1020
2017-05-16T07:30, 2017-05-16T21:00, 810
2017-05-17T00:00, 2017-05-17T06:00, 360
2017-05-17T08:00, 2017-05-17T18:00, 600
2017-05-17T20:00, 2017-05-18T01:00, 300
2017-05-18T06:00, 2017-05-18T17:00, 660
2017-05-18T20:00, 2017-05-19T05:30, 570
2017-05-19T08:30, 2017-05-19T23:30, 900
2017-05-20T06:00, 2017-05-20T06:45, 45
2017-05-20T13:20, 2017-05-21T01:00, 700
2017-05-21T07:00, 2017-05-21T10:30, 210
2017-05-21T15:00, 2017-05-22T08:30, 1050
2017-05-22T09:30, 2017-05-22T21:00, 690
2017-05-23T08:00, 2017-05-24T01:30, 1050
2017-05-24T06:30, 2017-05-25T01:30, 1140
2017-05-25T05:30, 2017-05-25T20:00, 870
2017-05-25T21:00, 2017-05-26T05:00, 480
2017-05-26T05:30, 2017-05-26T17:00, 690
2017-05-26T18:30, 2017-05-27T02:00, 450
2017-05-27T05:30, 2017-05-27T06:30, 60
2017-05-27T15:00, 2017-05-28T02:00, 660
2017-05-28T11:40, 2017-05-29T06:30, 1130
2017-05-29T08:10, 2017-05-29T21:00, 770
2017-05-29T21:30, 2017-05-30T02:00, 270
2017-05-30T05:12, 2017-05-30T07:30, 138
2017-05-30T08:30, 2017-05-30T23:30, 900
2017-05-31T01:30, 2017-05-31T07:20, 350
2017-05-31T08:50, 2017-06-01T01:30, 1000
2017-06-01T05:25, 2017-06-01T06:30, 65
2017-06-01T07:00, 2017-06-01T16:30, 570
2017-06-01T19:30, 2017-06-02T05:45, 615
2017-06-02T07:40, 2017-06-03T00:50, 1030
2017-06-03T11:20, 2017-06-03T17:50, 390
2017-06-03T20:45, 2017-06-04T03:40, 415
2017-06-04T10:15, 2017-06-04T15:35, 320
2017-06-04T17:30, 2017-06-05T02:15, 525
2017-06-05T05:30, 2017-06-05T18:30, 780
2017-06-06T03:30, 2017-06-07T00:20, 1250
2017-06-07T07:00, 2017-06-08T00:40, 1060
2017-06-08T05:30, 2017-06-09T00:00, 1110
2017-06-09T04:30, 2017-06-10T01:20, 1250
2017-06-10T11:20, 2017-06-11T00:00, 760
2017-06-11T07:30, 2017-06-12T00:30, 1020
2017-06-12T04:40, 2017-06-13T01:40, 1260
2017-06-13T05:40, 2017-06-13T15:15, 575
2017-06-13T18:30, 2017-06-14T07:10, 760
2017-06-14T07:40, 2017-06-14T14:00, 380
2017-06-14T19:00, 2017-06-15T01:00, 360
2017-06-15T07:30, 2017-06-16T02:30, 1140
2017-06-16T03:30, 2017-06-16T14:20, 650
2017-06-16T16:45, 2017-06-17T01:45, 540
2017-06-17T11:20, 2017-06-17T17:00, 340
2017-06-17T18:20, 2017-06-18T03:35, 555
2017-06-18T12:40, 2017-06-19T02:30, 830
2017-06-19T10:15, 2017-06-19T21:00, 645
2017-06-19T22:00, 2017-06-20T14:00, 960
2017-06-20T18:00, 2017-06-21T04:10, 610
2017-06-21T04:40, 2017-06-21T18:30, 830
2017-06-21T20:00, 2017-06-21T23:30, 210
2017-06-22T01:00, 2017-06-22T01:10, 10
2017-06-22T01:40, 2017-06-22T02:00, 20
2017-06-22T02:10, 2017-06-22T14:00, 710
2017-06-22T15:30, 2017-06-22T17:20, 110
2017-06-23T02:00, 2017-06-23T02:30, 30
2017-06-23T08:20, 2017-06-24T04:00, 1180
2017-06-24T08:40, 2017-06-24T17:40, 540
2017-06-24T20:10, 2017-06-25T08:00, 710
2017-06-25T12:10, 2017-06-26T05:10, 1020
2017-06-26T09:25, 2017-06-27T03:00, 1055
2017-06-27T07:00, 2017-06-28T05:55, 1375
2017-06-28T07:20, 2017-06-28T14:50, 450
2017-06-28T17:05, 2017-06-28T21:00, 235
2017-06-29T04:35, 2017-06-29T10:00, 325
2017-06-29T13:00, 2017-06-30T03:50, 890
2017-06-30T11:40, 2017-06-30T16:20, 280
2017-06-30T18:40, 2017-07-01T02:30, 470
2017-07-01T12:05, 2017-07-01T20:50, 525
2017-07-01T21:50, 2017-07-02T03:30, 340
2017-07-02T07:00, 2017-07-02T07:45, 45
2017-07-02T13:07, 2017-07-03T03:45, 878
